unix,date,symbol,open,high,low,close,Volume BTC,Volume USD
1686268800,2023-06-09,BTC/USD,26568.4,26774,26461.7,26511.3,2.4944613,66131.41186
1686182400,2023-06-08,BTC/USD,26381.1,26778.5,26336.8,26573.7,6.82675744,181412.2042
1686096000,2023-06-07,BTC/USD,27218.4,27379.4,26299.9,26375.9,12.36750293,326204.0205
1686009600,2023-06-06,BTC/USD,25821.6,27314.2,25527.2,27218.3,12.80445676,348515.5454
1685923200,2023-06-05,BTC/USD,27135.5,27135.5,25646.2,25838.9,27.86724974,720059.0793
1685836800,2023-06-04,BTC/USD,27075.3,27443.1,26998.9,27128.1,3.01816723,81877.14243
1685750400,2023-06-03,BTC/USD,27255.9,27305.1,26955.1,27070,2.40034629,64977.37407
1685664000,2023-06-02,BTC/USD,26866.3,27261.6,26671.3,27261.3,5.11776617,139516.9589
1685577600,2023-06-01,BTC/USD,27244.1,27317.2,26774,26859.1,8.03690473,215864.0278
1685491200,2023-05-31,BTC/USD,27770.8,27822.7,26955.9,27244,7.33125417,199732.6886
1685404800,2023-05-30,BTC/USD,27771.5,28012.5,27627.1,27770.7,5.16942783,143558.6294
1685318400,2023-05-29,BTC/USD,28120.4,28434.7,27646.3,27775.8,3.86780661,107431.4228
1685232000,2023-05-28,BTC/USD,26896.1,28243.2,26867.7,28115.8,7.2579343,204062.6292
1685145600,2023-05-27,BTC/USD,26804.2,27099,26687.7,26897.6,2.09531748,56359.01145
1685059200,2023-05-26,BTC/USD,26470.4,26900,26392.7,26808.7,14.82075776,397325.2486
1684972800,2023-05-25,BTC/USD,26405.7,26600,26030,26481,4.50916002,119407.0665
1684886400,2023-05-24,BTC/USD,27240.5,27240.5,26196.9,26401.1,8.45300507,223168.6322
1684800000,2023-05-23,BTC/USD,26917.4,27432.8,26895.7,27246.2,6.55807541,178682.6342
1684713600,2023-05-22,BTC/USD,26811.4,27021.2,26656.3,26917.3,2.28179032,61419.63458
1684627200,2023-05-21,BTC/USD,27144.5,27248,26773.8,26816.8,1.79935854,48253.0381
1684540800,2023-05-20,BTC/USD,26926.9,27139,26916.3,27139,0.89772957,24363.4828
1684454400,2023-05-19,BTC/USD,26914.7,27160,26773.5,26927,3.8551175,103806.7489
1684368000,2023-05-18,BTC/USD,27446.7,27489,26538.7,26920.1,6.92750894,186489.2334
1684281600,2023-05-17,BTC/USD,27069.9,27581.1,26663.6,27441.3,6.09509273,167257.2681
1684195200,2023-05-16,BTC/USD,27278.1,27316.5,26983.6,27070,4.2662935,115488.565
1684108800,2023-05-15,BTC/USD,26970.6,27707.7,26871.8,27283.6,4.69869586,128197.3384
1684022400,2023-05-14,BTC/USD,26888.9,27209.2,26774.1,26976,2.97656319,80295.76861
1683936000,2023-05-13,BTC/USD,26858.8,27063.5,26767.9,26891,4.61983452,124231.9701
1683849600,2023-05-12,BTC/USD,27077.8,27118.7,26049,26853.5,9.93299696,266735.7339
1683763200,2023-05-11,BTC/USD,27709.8,27709.8,26930,27083.2,5.8017804,157130.7789
1683676800,2023-05-10,BTC/USD,27728.6,28361.4,27081.2,27715.4,12.02216379,333199.0783
1683590400,2023-05-09,BTC/USD,27745.2,27858.5,27534.1,27723,3.47863568,96438.21696
1683504000,2023-05-08,BTC/USD,28570.2,28691.4,27468.7,27732.2,12.73315286,353118.3417
1683417600,2023-05-07,BTC/USD,28995.7,29271.9,28570,28570,7.40289888,211500.821
1683331200,2023-05-06,BTC/USD,29596.1,29819,28590.7,29009.6,7.51620427,218042.0794
1683244800,2023-05-05,BTC/USD,28894.3,29672,28888.6,29597.9,8.57810633,253893.9333
1683158400,2023-05-04,BTC/USD,29094.6,29406.9,28832.9,28888.7,5.90658191,170633.4728
1683072000,2023-05-03,BTC/USD,28799.6,29283.4,28350.3,29088.7,10.12984108,294663.9082
1682985600,2023-05-02,BTC/USD,28194.3,28993.8,27993,28818.1,7.07611225,203920.1104
1682899200,2023-05-01,BTC/USD,29352.7,29352.7,27896.5,28199.6,12.42085056,350263.0175
1682812800,2023-04-30,BTC/USD,29271.4,29958.2,29224.4,29358.6,9.83956853,288875.9566
1682726400,2023-04-29,BTC/USD,29415.8,29480.2,29231.5,29273.2,1.82003441,53278.23129
1682640000,2023-04-28,BTC/USD,29507,29582,29050,29415,8.80796536,259086.3011
1682553600,2023-04-27,BTC/USD,28471.3,29888.3,28471.3,29502,23.53072893,694203.5649
1682467200,2023-04-26,BTC/USD,28390.4,30005.4,27549.1,28471.2,24.61262307,700750.914
1682380800,2023-04-25,BTC/USD,27614,28399.5,27432.6,28384.7,8.74947338,248351.177
1682294400,2023-04-24,BTC/USD,27715.2,28052.7,27222.3,27608.5,5.80448669,160253.1708
1682208000,2023-04-23,BTC/USD,27976,28000,27614.6,27732.1,2.88658569,80051.08301
1682121600,2023-04-22,BTC/USD,27433,27971.6,27376.8,27971.5,3.30478672,92439.84174
1682035200,2023-04-21,BTC/USD,28380.2,28405.6,27421.2,27427.6,9.64582781,264561.9068
1681948800,2023-04-20,BTC/USD,28893.5,29133.6,28230.3,28382,11.34223602,321915.3427
1681862400,2023-04-19,BTC/USD,30374.6,30374.6,28780.8,28893.6,13.58227729,392440.8871
1681776000,2023-04-18,BTC/USD,29543.1,30480,29300,30368.5,9.29177925,282177.3982
1681689600,2023-04-17,BTC/USD,30372.1,30372.1,29372.5,29543.2,7.92606059,234161.1932
1681603200,2023-04-16,BTC/USD,30385.5,30603.3,30286,30364.9,2.5058084,76088.62149
1681516800,2023-04-15,BTC/USD,30526.6,30636,30266.8,30391.5,2.65062629,80556.50889
1681430400,2023-04-14,BTC/USD,30423.7,31141,30095.2,30525.7,9.15177331,279364.2865
1681344000,2023-04-13,BTC/USD,29991.5,30553.1,29988.6,30429.1,4.9573606,150848.0214
1681257600,2023-04-12,BTC/USD,30333.1,30484.7,29835,29991.3,9.11720623,273436.8672
1681171200,2023-04-11,BTC/USD,29668.1,30887.9,29661.8,30339.2,14.42289103,437578.9755
