unix,date,symbol,open,high,low,close,Volume ETH,Volume USD
1686268800,2023-06-09,ETH/USD,1849.04,1853.92,1836.73,1841.16,32.222239,59326.29756
1686182400,2023-06-08,ETH/USD,1834.27,1859.6,1834.27,1849.34,32.602683,60293.44578
1686096000,2023-06-07,ETH/USD,1882.66,1896.14,1831.07,1833.9,93.950644,172296.086
1686009600,2023-06-06,ETH/USD,1816.31,1894.8,1805.37,1882.6,187.980309,353891.7297
1685923200,2023-06-05,ETH/USD,1890.37,1890.37,1801.22,1816.6,146.545212,266214.0321
1685836800,2023-06-04,ETH/USD,1892.42,1911.03,1890.84,1891.63,62.863096,118913.7183
1685750400,2023-06-03,ETH/USD,1906.22,1906.61,1887.72,1893.86,24.472416,46347.32977
1685664000,2023-06-02,ETH/USD,1862.17,1908.98,1854.85,1906.26,129.92641,247673.5183
1685577600,2023-06-01,ETH/USD,1875.46,1886.19,1850.63,1862.07,89.486454,166630.0414
1685491200,2023-05-31,ETH/USD,1904.07,1904.52,1854.98,1874.04,55.9719,104893.5795
1685404800,2023-05-30,ETH/USD,1894.66,1914.5,1884.43,1903.81,121.967558,232203.0566
1685318400,2023-05-29,ETH/USD,1911.03,1927.56,1884.58,1895.04,108.484294,205582.0765
1685232000,2023-05-28,ETH/USD,1832.66,1914.87,1830.22,1911.07,126.207249,241190.8873
1685145600,2023-05-27,ETH/USD,1832.32,1837.39,1819.66,1832.89,28.065953,51441.80459
1685059200,2023-05-26,ETH/USD,1811.17,1837.93,1803.35,1832.67,86.381495,158308.7744
1684972800,2023-05-25,ETH/USD,1803.91,1816.73,1771.71,1811.31,100.814869,182606.9804
1684886400,2023-05-24,ETH/USD,1855.2,1855.2,1786.3,1803.55,96.541145,174116.7821
1684800000,2023-05-23,ETH/USD,1822.72,1869.94,1822.35,1855.3,126.534283,234759.0552
1684713600,2023-05-22,ETH/USD,1809.07,1826.23,1798.85,1823.08,50.713988,92455.65724
1684627200,2023-05-21,ETH/USD,1819.14,1827.34,1806.05,1809.31,27.120157,49068.77126
1684540800,2023-05-20,ETH/USD,1815.43,1827.58,1813.17,1818.93,16.844695,30639.32108
1684454400,2023-05-19,ETH/USD,1806.3,1829.64,1803.75,1814.59,63.312006,114885.333
1684368000,2023-05-18,ETH/USD,1825.94,1831.75,1780,1807.01,75.725484,136836.7068
1684281600,2023-05-17,ETH/USD,1829.91,1836.38,1792.06,1825.93,73.875828,134892.0906
1684195200,2023-05-16,ETH/USD,1822.74,1830.65,1805.23,1830.27,64.139101,117391.8724
1684108800,2023-05-15,ETH/USD,1803.2,1846.81,1794.09,1823.1,92.983739,169518.6546
1684022400,2023-05-14,ETH/USD,1801.84,1824.8,1797.75,1803.56,54.396616,98107.56075
1683936000,2023-05-13,ETH/USD,1813.57,1820,1794.89,1802.2,66.031511,119001.9891
1683849600,2023-05-12,ETH/USD,1802.72,1815.48,1750.02,1813.58,126.09122,228676.5148
1683763200,2023-05-11,ETH/USD,1847.38,1847.38,1784.9,1801.51,101.630255,183087.9207
1683676800,2023-05-10,ETH/USD,1851.67,1890.76,1809.05,1847.75,170.862113,315710.4693
1683590400,2023-05-09,ETH/USD,1852.87,1862.31,1843.1,1851.29,58.414819,108142.7703
1683504000,2023-05-08,ETH/USD,1884.28,1889.06,1829.99,1852.87,171.763151,318254.7896
1683417600,2023-05-07,ETH/USD,1906.46,1936.54,1884.66,1884.66,122.578737,231019.2425
1683331200,2023-05-06,ETH/USD,1995.41,2015.5,1879.54,1906.47,169.492648,323132.6486
1683244800,2023-05-05,ETH/USD,1879.1,2000.67,1879.1,1995.44,214.495815,428013.5291
1683158400,2023-05-04,ETH/USD,1908.65,1917.44,1877.84,1878.98,42.570614,79989.33229
1683072000,2023-05-03,ETH/USD,1879.41,1917.84,1851.35,1909.02,156.386338,298544.647
1682985600,2023-05-02,ETH/USD,1834.92,1881.77,1834.92,1879.71,62.163731,116849.7868
1682899200,2023-05-01,ETH/USD,1870.95,1888.32,1820.59,1834.86,135.205522,248083.2041
1682812800,2023-04-30,ETH/USD,1910.85,1947.08,1869.36,1869.36,134.252008,250965.3337
1682726400,2023-04-29,ETH/USD,1901.9,1920.15,1900.49,1909.6,34.323583,65544.3141
1682640000,2023-04-28,ETH/USD,1913.33,1924.05,1893.71,1902.7,65.728771,125062.1326
1682553600,2023-04-27,ETH/USD,1895.38,1989.53,1877.64,1913.34,268.671182,514059.3194
1682467200,2023-04-26,ETH/USD,1884.98,1969.91,1817.79,1876.95,83.181275,156127.0941
1682380800,2023-04-25,ETH/USD,1844.58,1884.62,1818,1870.59,34.793628,65084.6126
1682294400,2023-04-24,ETH/USD,1885.84,1900.3,1821.4,1852.77,52.430847,97142.3004
1682208000,2023-04-23,ETH/USD,1890.45,1908,1852.01,1875.64,13.991639,26243.27777
1682121600,2023-04-22,ETH/USD,1864.73,1909.95,1849.9,1899.99,26.345824,50056.80214
1682035200,2023-04-21,ETH/USD,1947.31,1969.98,1831.85,1852.11,81.7203,151354.9848
1681948800,2023-04-20,ETH/USD,1954.93,1999.97,1921.31,1969.96,29.840842,58785.26511
1681862400,2023-04-19,ETH/USD,2103.24,2103.24,1931.27,1937.06,182.70015,353901.1526
1681776000,2023-04-18,ETH/USD,2077.26,2125.61,2064.57,2113.88,38.370739,81111.13776
1681689600,2023-04-17,ETH/USD,2116.62,2116.62,2066.93,2080.58,90.86323,189048.2191
1681603200,2023-04-16,ETH/USD,2099.72,2142.18,2078.39,2125.5,94.213518,200250.8325
1681516800,2023-04-15,ETH/USD,2101.28,2111.97,2077.33,2082.04,20.597054,42883.89031
1681430400,2023-04-14,ETH/USD,2011.39,2129.88,2011.39,2100.25,329.77097,692601.4797
1681344000,2023-04-13,ETH/USD,1924.06,2022.37,1907.16,2011.72,343.083656,690188.2524
1681257600,2023-04-12,ETH/USD,1893.34,1931.62,1861.82,1925.35,245.337979,472361.4779
1681171200,2023-04-11,ETH/USD,1914.07,1938.02,1891.33,1892.96,140.872555,266666.1117
1681084800,2023-04-10,ETH/USD,1863.18,1919.47,1856.42,1914.45,152.349076,291664.6885
1680998400,2023-04-09,ETH/USD,1858,1875.74,1838,1864.04,97.07851,180958.2258
1680912000,2023-04-08,ETH/USD,1870.07,1883.05,1856.68,1858.37,47.567323,88397.68604
1680825600,2023-04-07,ETH/USD,1873.65,1885.05,1852.72,1870.08,84.782524,158550.1025
1680739200,2023-04-06,ETH/USD,1911.44,1911.44,1861.86,1873.46,160.678985,301025.6512
1680652800,2023-04-05,ETH/USD,1873.79,1941.83,1870.92,1911.78,454.258628,868442.5598
1680566400,2023-04-04,ETH/USD,1815.23,1889,1809.22,1873.67,410.861475,769818.8199
1680480000,2023-04-03,ETH/USD,1797.55,1839.4,1772.36,1815.59,298.205763,541419.4012
1680393600,2023-04-02,ETH/USD,1823.7,1825.88,1782.67,1797.19,101.257546,181979.0491
1680307200,2023-04-01,ETH/USD,1827.1,1840.3,1815.51,1823.34,93.035387,169635.1425
1680220800,2023-03-31,ETH/USD,1795.46,1845.58,1788.97,1827.09,208.830022,381551.2449
1680134400,2023-03-30,ETH/USD,1794.58,1829.72,1768.52,1795.1,462.047877,829422.144
1680048000,2023-03-29,ETH/USD,1779.36,1824.73,1779.36,1794.56,202.693117,363744.96
1679961600,2023-03-28,ETH/USD,1718.5,1793.27,1713.83,1779.34,205.068778,364887.0794
1679875200,2023-03-27,ETH/USD,1782.68,1784.26,1702.14,1718.49,128.359811,220585.0516
1679788800,2023-03-26,ETH/USD,1747.6,1800.61,1747.6,1782.69,129.015053,229993.8448
1679702400,2023-03-25,ETH/USD,1755.99,1767.51,1727,1747.25,106.028023,185257.4632
1679616000,2023-03-24,ETH/USD,1819.23,1823.08,1743.55,1754.83,344.010528,603679.9949
1679529600,2023-03-23,ETH/USD,1742,1853.99,1739.19,1819,405.275997,737197.0385
1679443200,2023-03-22,ETH/USD,1808.54,1823.7,1722.06,1742,541.095519,942588.3941
1679356800,2023-03-21,ETH/USD,1739.88,1839.81,1736.03,1807.35,388.205605,701623.4002
1679270400,2023-03-20,ETH/USD,1788.18,1806.14,1739.87,1739.87,370.391855,644433.6768
1679184000,2023-03-19,ETH/USD,1762.98,1844.15,1762.65,1787.23,441.532609,789120.3248
1679097600,2023-03-18,ETH/USD,1793.05,1841.73,1761.58,1761.94,798.442583,1406807.925
1679011200,2023-03-17,ETH/USD,1682.95,1801.35,1678.39,1792.69,645.941861,1157973.515
1678924800,2023-03-16,ETH/USD,1661.42,1698.66,1646.95,1683.28,186.115839,313285.0695
1678838400,2023-03-15,ETH/USD,1706.54,1720.86,1627.57,1661.41,506.868116,842115.7566
1678752000,2023-03-14,ETH/USD,1680.38,1781.46,1672.12,1706.88,966.625599,1649913.902
1678665600,2023-03-13,ETH/USD,1592.49,1698.58,1582.14,1680.25,564.924566,949214.502
1678579200,2023-03-12,ETH/USD,1486.58,1604.21,1471.81,1592.17,625.285004,995560.0248
1678492800,2023-03-11,ETH/USD,1434.14,1492.87,1434.14,1486.29,707.946364,1052213.601
1678406400,2023-03-10,ETH/USD,1441.43,1565.35,1368.38,1434.13,1255.321056,1800293.586
1678320000,2023-03-09,ETH/USD,1539.68,1552.13,1430,1441.42,381.894454,550470.3039
1678233600,2023-03-08,ETH/USD,1563.32,1571.85,1539.04,1539.97,125.7544,193658.0034
