unix,date,symbol,open,high,low,close,Volume XRP,Volume USD
1686268800,2023-06-09,XRP/USD,0.52484,0.54029,0.52341,0.5372,129991.1901,69831.2673
1686182400,2023-06-08,XRP/USD,0.5201,0.52702,0.5178,0.52507,99846.74882,52426.5324
1686096000,2023-06-07,XRP/USD,0.53005,0.5377,0.50975,0.52021,285124.3103,148324.5175
1686009600,2023-06-06,XRP/USD,0.51098,0.5322,0.49945,0.53041,272391.3167,144479.0783
1685923200,2023-06-05,XRP/USD,0.53624,0.54219,0.49294,0.51108,533511.8193,272667.2206
1685836800,2023-06-04,XRP/USD,0.51911,0.54644,0.51669,0.53588,265613.5268,142336.9767
1685750400,2023-06-03,XRP/USD,0.52436,0.5322,0.51603,0.51934,128654.1374,66815.23972
1685664000,2023-06-02,XRP/USD,0.50695,0.5259,0.50423,0.52464,157729.9617,82751.4471
1685577600,2023-06-01,XRP/USD,0.5171,0.5171,0.50208,0.50729,125351.7063,63589.66711
1685491200,2023-05-31,XRP/USD,0.52146,0.52686,0.50247,0.51745,315966.2648,163496.7437
1685404800,2023-05-30,XRP/USD,0.4949,0.52948,0.49103,0.52181,739394.0773,385823.2235
1685318400,2023-05-29,XRP/USD,0.48316,0.4948,0.47871,0.4948,171269.1737,84743.98716
1685232000,2023-05-28,XRP/USD,0.47238,0.48678,0.47163,0.48315,80400.53009,38845.51611
1685145600,2023-05-27,XRP/USD,0.46958,0.47893,0.46696,0.47247,135353.0968,63950.27764
1685059200,2023-05-26,XRP/USD,0.45399,0.47002,0.45375,0.46967,185159.2362,86963.73846
1684972800,2023-05-25,XRP/USD,0.45413,0.45454,0.44552,0.454,112964.2328,51285.7617
1684886400,2023-05-24,XRP/USD,0.46489,0.46489,0.44755,0.45422,168242.9908,76419.33129
1684800000,2023-05-23,XRP/USD,0.46201,0.46641,0.46,0.4649,122092.1275,56760.63006
1684713600,2023-05-22,XRP/USD,0.45843,0.46663,0.45222,0.46203,133955.9983,61891.6899
1684627200,2023-05-21,XRP/USD,0.46957,0.47077,0.45664,0.45842,97060.13226,44494.30583
1684540800,2023-05-20,XRP/USD,0.46842,0.47138,0.4633,0.46945,84056.00093,39460.08964
1684454400,2023-05-19,XRP/USD,0.46112,0.47499,0.45909,0.46833,249387.5759,116795.6834
1684368000,2023-05-18,XRP/USD,0.44953,0.47232,0.44406,0.46111,582091.2636,268408.1026
1684281600,2023-05-17,XRP/USD,0.44228,0.46085,0.43931,0.44962,425314.9844,191230.1233
