date,symbol,Predicted
2022-05-16,BTC/USD,28818.34
2022-05-17,BTC/USD,29743.666
2022-05-18,BTC/USD,29730.125
2022-05-19,BTC/USD,29761.3
2022-05-20,BTC/USD,29003.951
2022-05-21,BTC/USD,29130.412
2022-05-22,BTC/USD,28909.623
2022-05-23,BTC/USD,28780.232
2022-05-24,BTC/USD,29125.486
2022-05-25,BTC/USD,28894.373
2022-05-26,BTC/USD,28858.43
2022-05-27,BTC/USD,28851.71
2022-05-28,BTC/USD,28684.596
2022-05-29,BTC/USD,28273.365
2022-05-30,BTC/USD,28169.861
2022-05-31,BTC/USD,28377.117
2022-06-01,BTC/USD,29631.38
2022-06-02,BTC/USD,30694.93
2022-06-03,BTC/USD,30288.248
2022-06-04,BTC/USD,30018.09
2022-06-05,BTC/USD,29575.15
2022-06-06,BTC/USD,29332.145
2022-06-07,BTC/USD,29262.457
2022-06-08,BTC/USD,29939.705
2022-06-09,BTC/USD,30420.006
2022-06-10,BTC/USD,30196.45
2022-06-11,BTC/USD,29858.707
2022-06-12,BTC/USD,29166.998
2022-06-13,BTC/USD,28349.676
2022-06-14,BTC/USD,27046.71
2022-06-15,BTC/USD,24414.758
2022-06-16,BTC/USD,22408.256
2022-06-17,BTC/USD,21422.674
2022-06-18,BTC/USD,20226.1
2022-06-19,BTC/USD,19381.31
2022-06-20,BTC/USD,18434.766
2022-06-21,BTC/USD,18265.033
2022-06-22,BTC/USD,18395.412
2022-06-23,BTC/USD,18587.521
2022-06-24,BTC/USD,18489.303
2022-06-25,BTC/USD,18706.133
2022-06-26,BTC/USD,19007.428
2022-06-27,BTC/USD,19337.248
2022-06-28,BTC/USD,19394.893
2022-06-29,BTC/USD,19241.365
2022-06-30,BTC/USD,18932.518
2022-07-01,BTC/USD,18628.531
2022-07-02,BTC/USD,18369.273
2022-07-03,BTC/USD,17991.297
2022-07-04,BTC/USD,17689.61
2022-07-05,BTC/USD,17527.62
2022-07-06,BTC/USD,17745.164
2022-07-07,BTC/USD,18004.955
2022-07-08,BTC/USD,18300.13
2022-07-09,BTC/USD,18880.55
2022-07-10,BTC/USD,19364.107
2022-07-11,BTC/USD,19643.996
2022-07-12,BTC/USD,19512.145
2022-07-13,BTC/USD,19011.75
2022-07-14,BTC/USD,18384.535
2022-07-15,BTC/USD,18222.959
2022-07-16,BTC/USD,18377.79
2022-07-17,BTC/USD,18649.373
2022-07-18,BTC/USD,18975.883
2022-07-19,BTC/USD,19070.635
2022-07-20,BTC/USD,19643.494
2022-07-21,BTC/USD,20514.752
2022-07-22,BTC/USD,21117.68
2022-07-23,BTC/USD,21413.486
2022-07-24,BTC/USD,21354.926
2022-07-25,BTC/USD,21132.004
2022-07-26,BTC/USD,20996.752
2022-07-27,BTC/USD,20494.387
2022-07-28,BTC/USD,20025.637
2022-07-29,BTC/USD,20311.787
2022-07-30,BTC/USD,21066.37
2022-07-31,BTC/USD,21662.578
2022-08-01,BTC/USD,21940.78
2022-08-02,BTC/USD,21922.572
2022-08-03,BTC/USD,21828.467
2022-08-04,BTC/USD,21638.494
2022-08-05,BTC/USD,21432.666
2022-08-06,BTC/USD,21223.543
2022-08-07,BTC/USD,21316.488
2022-08-08,BTC/USD,21342.111
2022-08-09,BTC/USD,21413.086
2022-08-10,BTC/USD,21707.666
2022-08-11,BTC/USD,21723.125
2022-08-12,BTC/USD,21948.951
2022-08-13,BTC/USD,22170.06
2022-08-14,BTC/USD,22484.488
2022-08-15,BTC/USD,22724.57
2022-08-16,BTC/USD,22806.387
2022-08-17,BTC/USD,22737.986
2022-08-18,BTC/USD,22575.371
2022-08-19,BTC/USD,22236.055
2022-08-20,BTC/USD,21925.812
2022-08-21,BTC/USD,20862.81
2022-08-22,BTC/USD,20068.633
2022-08-23,BTC/USD,19758.55
2022-08-24,BTC/USD,19647.777
2022-08-25,BTC/USD,19653.629
2022-08-26,BTC/USD,19644.979
2022-08-27,BTC/USD,19700.152
2022-08-28,BTC/USD,19299.395
2022-08-29,BTC/USD,18825.234
2022-08-30,BTC/USD,18340.648
2022-08-31,BTC/USD,18244.39
2022-09-01,BTC/USD,18139.275
2022-09-02,BTC/USD,18123.379
2022-09-03,BTC/USD,18177.227
2022-09-04,BTC/USD,18171.395
2022-09-05,BTC/USD,18112.648
2022-09-06,BTC/USD,18105.578
2022-09-07,BTC/USD,18056.71
2022-09-08,BTC/USD,17693.422
2022-09-09,BTC/USD,17494.154
2022-09-10,BTC/USD,17437.625
2022-09-11,BTC/USD,18085.307
2022-09-12,BTC/USD,18866.959
2022-09-13,BTC/USD,19464.697
2022-09-14,BTC/USD,20008.166
2022-09-15,BTC/USD,19598.85
2022-09-16,BTC/USD,19060.727
2022-09-17,BTC/USD,18521.326
2022-09-18,BTC/USD,18192.004
2022-09-19,BTC/USD,18134.637
2022-09-20,BTC/USD,17940.805
2022-09-21,BTC/USD,17792.059
2022-09-22,BTC/USD,17506.488
2022-09-23,BTC/USD,17140.45
2022-09-24,BTC/USD,17156.229
2022-09-25,BTC/USD,17255.32
2022-09-26,BTC/USD,17221.922
2022-09-27,BTC/USD,17106.633
2022-09-28,BTC/USD,17143.87
2022-09-29,BTC/USD,17184.79
2022-09-30,BTC/USD,17298.227
2022-10-01,BTC/USD,17465.53
2022-10-02,BTC/USD,17540.455
2022-10-03,BTC/USD,17533.236
2022-10-04,BTC/USD,17415.361
2022-10-05,BTC/USD,17486.355
2022-10-06,BTC/USD,17828.371
2022-10-07,BTC/USD,18087.469
2022-10-08,BTC/USD,18150.291
2022-10-09,BTC/USD,18009.572
2022-10-10,BTC/USD,17822.438
2022-10-11,BTC/USD,17696.682
2022-10-12,BTC/USD,17530.588
2022-10-13,BTC/USD,17370.982
2022-10-14,BTC/USD,17296.248
2022-10-15,BTC/USD,17343.492
2022-10-16,BTC/USD,17352.031
2022-10-17,BTC/USD,17307.084
2022-10-18,BTC/USD,17322.322
2022-10-19,BTC/USD,17448.828
2022-10-20,BTC/USD,17492.715
2022-10-21,BTC/USD,17426.422
2022-10-22,BTC/USD,17322.463
2022-10-23,BTC/USD,17275.479
2022-10-24,BTC/USD,17280.932
2022-10-25,BTC/USD,17414.04
2022-10-26,BTC/USD,17471.242
2022-10-27,BTC/USD,17711.639
2022-10-28,BTC/USD,18173.057
2022-10-29,BTC/USD,18396.488
2022-10-30,BTC/USD,18562.559
2022-10-31,BTC/USD,18737.879
2022-11-01,BTC/USD,18807.604
2022-11-02,BTC/USD,18785.176
2022-11-03,BTC/USD,18739.842
2022-11-04,BTC/USD,18592.967
2022-11-05,BTC/USD,18485.486
2022-11-06,BTC/USD,18734.299
2022-11-07,BTC/USD,19064.566
2022-11-08,BTC/USD,19170.695
2022-11-09,BTC/USD,19058.703
2022-11-10,BTC/USD,18251.627
2022-11-11,BTC/USD,16725.242
2022-11-12,BTC/USD,15958.872
2022-11-13,BTC/USD,15528.63
2022-11-14,BTC/USD,15233.246
2022-11-15,BTC/USD,14932.138
2022-11-16,BTC/USD,14794.562
2022-11-17,BTC/USD,14820.109
2022-11-18,BTC/USD,14836.217
2022-11-19,BTC/USD,14842.445
2022-11-20,BTC/USD,14851.661
2022-11-21,BTC/USD,14854.451
2022-11-22,BTC/USD,14741.854
2022-11-23,BTC/USD,14487.331
2022-11-24,BTC/USD,14369.476
2022-11-25,BTC/USD,14451.82
2022-11-26,BTC/USD,14566.041
2022-11-27,BTC/USD,14633.886
2022-11-28,BTC/USD,14644.424
2022-11-29,BTC/USD,14626.795
2022-11-30,BTC/USD,14550.129
2022-12-01,BTC/USD,14535.344
2022-12-02,BTC/USD,14740.598
2022-12-03,BTC/USD,14909.909
2022-12-04,BTC/USD,15038.771
2022-12-05,BTC/USD,15075.392
2022-12-06,BTC/USD,15136.088
2022-12-07,BTC/USD,15146.449
2022-12-08,BTC/USD,15173.579
2022-12-09,BTC/USD,15136.787
2022-12-10,BTC/USD,15188.171
2022-12-11,BTC/USD,15230.832
2022-12-12,BTC/USD,15255.376
2022-12-13,BTC/USD,15247.072
2022-12-14,BTC/USD,15265.056
2022-12-15,BTC/USD,15455.841
2022-12-16,BTC/USD,15656.974
2022-12-17,BTC/USD,15660.732
2022-12-18,BTC/USD,15393.073
2022-12-19,BTC/USD,15167.195
2022-12-20,BTC/USD,15029.026
2022-12-21,BTC/USD,14864.743
2022-12-22,BTC/USD,14865.372
2022-12-23,BTC/USD,14889.92
2022-12-24,BTC/USD,14915.455
2022-12-25,BTC/USD,14924.219
2022-12-26,BTC/USD,14939.7
2022-12-27,BTC/USD,14950.384
2022-12-28,BTC/USD,14981.863
2022-12-29,BTC/USD,14953.394
2022-12-30,BTC/USD,14865.663
2022-12-31,BTC/USD,14818.68
2023-01-01,BTC/USD,14807.982
2023-01-02,BTC/USD,14788.354
2023-01-03,BTC/USD,14786.027
2023-01-04,BTC/USD,14813.073
2023-01-05,BTC/USD,14841.819
2023-01-06,BTC/USD,14911.75
2023-01-07,BTC/USD,14968.352
2023-01-08,BTC/USD,15036.085
2023-01-09,BTC/USD,15088.131
2023-01-10,BTC/USD,15146.802
2023-01-11,BTC/USD,15220.333
2023-01-12,BTC/USD,15345.319
2023-01-13,BTC/USD,15588.073
2023-01-14,BTC/USD,16074.479
2023-01-15,BTC/USD,16821.594
2023-01-16,BTC/USD,17759.643
2023-01-17,BTC/USD,18435.996
2023-01-18,BTC/USD,18918.098
2023-01-19,BTC/USD,19198.564
2023-01-20,BTC/USD,19173.57
2023-01-21,BTC/USD,19195.678
2023-01-22,BTC/USD,19786.814
2023-01-23,BTC/USD,20397.775
2023-01-24,BTC/USD,20773.756
2023-01-25,BTC/USD,21027.16
2023-01-26,BTC/USD,21064.098
2023-01-27,BTC/USD,21185.598
2023-01-28,BTC/USD,21296.27
2023-01-29,BTC/USD,21381.059
2023-01-30,BTC/USD,21424.328
2023-01-31,BTC/USD,21707.354
2023-02-01,BTC/USD,21602.543
2023-02-02,BTC/USD,21565.975
2023-02-03,BTC/USD,21757.006
2023-02-04,BTC/USD,21893.77
2023-02-05,BTC/USD,21973.172
2023-02-06,BTC/USD,21954.445
2023-02-07,BTC/USD,21750.783
2023-02-08,BTC/USD,21534.396
2023-02-09,BTC/USD,21573.34
2023-02-10,BTC/USD,21537.898
2023-02-11,BTC/USD,21034.62
2023-02-12,BTC/USD,20517.389
2023-02-13,BTC/USD,20265.049
2023-02-14,BTC/USD,20140.389
2023-02-15,BTC/USD,20084.883
2023-02-16,BTC/USD,20224.984
2023-02-17,BTC/USD,21127.451
2023-02-18,BTC/USD,21679.854
2023-02-19,BTC/USD,22287.842
2023-02-20,BTC/USD,22755.883
2023-02-21,BTC/USD,22863.383
2023-02-22,BTC/USD,23057.238
2023-02-23,BTC/USD,23082.422
2023-02-24,BTC/USD,22933.97
2023-02-25,BTC/USD,22698.633
2023-02-26,BTC/USD,22264.115
2023-02-27,BTC/USD,21915.613
